id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,4864426.0,96017351502710,1,102249881011820.0,2109243439290.0,4900196.0,4769558.0,-19317.127074056305,-0.39554,-352336819707.6875,-0.36561,19719968.0,21000000.0,21000000.0,6110932.0,-20.28289,2024-03-14T07:10:36.635Z,3993.42,121887.1549,2013-07-05T00:00:00.000Z,,2024-07-11T10:16:58.437Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,262183.0,31584083105078,2,31584083105078.0,1180992439557.0,263108.0,256204.0,4140.61,1.60462,573835657937.0,1.85047,120209171.41823,120209171.41823,,362338.0,-27.56199,2021-11-10T14:24:19.604Z,28.13,932922.30755,2015-10-20T00:00:00.000Z,"{'times': 71.08066498937798, 'currency': 'btc', 'percentage': 7108.066498937798}",2024-07-11T10:16:00.228Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,83.53,9384498622619,3,9384498622619.0,3310148978596.0,83.68,83.18,0.02161628,0.02589,4689875077.0,0.05,112259808785.143,112259808785.143,,91.22,-8.34384,2018-07-24T00:00:00.000Z,36.86,126.8335,2015-03-02T00:00:00.000Z,,2024-07-11T10:16:10.163Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,44308.0,6830159886144,4,6830159886144.0,60710032008.0,44452.0,43444.0,629.26,1.44063,108201950074.0,1.60968,153856150.0,153856150.0,200000000.0,59899.0,-26.02593,2024-06-06T14:10:59.816Z,2.58,1714174.44437,2017-10-19T00:00:00.000Z,,2024-07-11T10:16:48.243Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,11911.38,5536767844257,5,6921453879159.0,177162738501.0,12012.98,11655.6,-56.99967773136632,-0.47625,-16435463771.395508,-0.29596,463963262.360161,579995479.742006,,19286.66,-38.1245,2021-11-06T21:54:35.825Z,38.03,31283.29132,2020-05-11T19:35:23.449Z,,2024-07-11T10:16:39.189Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,83.54,2850148226345,6,2850601190081.0,492383608683.0,83.86,82.99,-0.02658617198984814,-0.03182,8536093034.0,0.3004,34136885196.3334,34142310447.864,,87.19,-4.07009,2020-03-13T02:35:16.858Z,65.31,28.07168,2021-05-19T13:14:05.611Z,,2024-07-11T10:16:47.750Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,262402.0,2551387198693,7,2551387198693.0,6566216232.0,263034.0,256222.0,4730.77,1.83597,42768613071.0,1.70487,9715227.84025502,9715227.84025502,,358528.0,-26.82169,2021-11-10T14:40:47.256Z,35697.0,634.97766,2020-12-22T04:08:21.854Z,,2024-07-11T10:16:34.348Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,37.21,2077407120215,8,3727624998891.0,77404922139.0,37.35,36.01,0.408263,1.10946,28623078107.0,1.39708,55723063839.0,99987471767.0,100000000000.0,215.1,-82.64263,2018-01-07T00:00:00.000Z,0.159343,23331.53037,2013-08-16T00:00:00.000Z,,2024-07-11T10:16:35.590Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,597.54,1499459696598,9,3055895809452.0,20511339085.0,614.25,593.92,-14.428603401800387,-2.35773,-33800700277.367188,-2.2045,2506792540.33612,5108838094.52057,,689.6,-13.16935,2024-06-15T00:36:51.509Z,38.25,1465.26872,2021-09-21T00:33:11.092Z,,2024-07-11T10:16:31.533Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,9.12,1324641351040,10,1324855600439.0,40988596903.0,9.22,8.91,0.04613633,0.50847,7457172794.0,0.56615,145046316383.705,145069776383.705,,53.62,-82.95294,2021-05-08T05:08:23.458Z,0.00552883,165219.63706,2015-05-06T00:00:00.000Z,,2024-07-11T10:17:01.424Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,32.79,1164998623290,11,1478956414104.0,20726087831.0,32.99,31.75,0.77983,2.43601,27609504498.0,2.42745,35447250201.636,45000000000.0,45000000000.0,225.26,-85.42548,2021-09-02T06:00:10.474Z,1.38,2286.97912,2017-11-02T00:00:00.000Z,,2024-07-11T10:15:51.021Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,11.23,979540256009,12,979542696365.0,33319870611.0,11.25,10.84,0.383831,3.53943,33030409956.0,3.48971,87140109743.7888,87140326838.3996,,14.67,-23.43509,2018-01-05T00:00:00.000Z,0.117589,9449.7372,2017-11-12T00:00:00.000Z,"{'times': 69.72713475000805, 'currency': 'usd', 'percentage': 6972.713475000805}",2024-07-11T10:15:54.075Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,2140.39,846137112418,13,952003875521.0,22850538883.0,2251.4,2106.7,-96.81446777045403,-4.32747,-37798411077.62134,-4.27615,394397831.034598,443744195.284803,720000000.0,10772.35,-80.04606,2021-11-21T14:18:56.538Z,204.63,950.43908,2020-12-31T13:15:21.540Z,,2024-07-11T10:16:29.333Z
