id,symbol,name,current_price,price_change_percentage_24h,high_price,low_price,sma_5,sma_20,ema_5,ema_20,rsi,rsi_28,lag_1,lag_2,lag_3,lag_5,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,atr,roc
kaspa,kas,Kaspa,0.173452,-3.9162,0.18033152063505478,0.16974329156745063,726.571454398,3568.0890155815005,361.55997122404744,6558.132786700117,50.00006083970994,34.57989445385779,10.31,0.533808,1.199e-05,5.72,3568.0890155815005,14996.273507170908,33560.63602992332,-26424.457998760317,-8291.512491050718,-9949.742838823164,1658.2303477724454,10288.951094365906,-0.9721138263665595
fetch-ai,fet,Artificial Superintelligence Alliance,1.41,-0.96859,1.444184193755224,1.3931123344619867,2.485454398,3568.1526720315,241.50998081603166,5933.682997490582,5.415269263283392,34.58026646993943,0.173452,10.31,0.533808,3621.84,3568.1526720315,14996.257567436034,33560.66780690357,-26424.362462840567,-7856.0461693301095,-9531.003504924553,1674.957335594443,5386.536891738596,-0.9008438818565401
ethereum-classic,etc,Ethereum Classic,23.47,-0.8996,23.967602452000243,22.937019679635608,7.1794519999999995,3568.9731720315003,168.8299872106878,5370.805569158146,50.105345247436965,48.87972513277333,1.41,0.173452,10.31,1.199e-05,3568.9731720315003,14996.052919827318,33561.07901168614,-26423.132667623137,-7423.581487989689,-9109.51910153758,1685.9376135478915,589.4412136930479,-0.9392566903048812
aptos,apt,Aptos,7.33,-0.0748,7.427311540405459,7.131747597577561,8.538690399999998,3569.3180756315005,114.99665814045854,4859.998372095465,49.957964762791356,50.00210402638616,23.47,1.41,0.173452,0.533808,3569.3180756315005,14995.966604050784,33561.251283733065,-26422.615132470066,-7001.444185082069,-8687.904118246479,1686.4599331644094,590.0131716029701,0.20163934426229524
ethena-usde,usde,Ethena USDe,0.999229,-0.08648,1.0260812252309492,0.9519096278839098,6.676536199999998,3567.7780370815003,76.99751509363904,4397.236548943516,47.53897365337148,49.80280683623083,7.33,23.47,1.41,10.31,3567.7780370815003,14996.350593302697,33560.479223686896,-26424.923149523893,-6591.426311999666,-8268.608556997116,1677.1822449974507,563.3041432537933,-0.8738347222222222
monero,xmr,Monero,163.92,0.68739,169.23119663319247,162.118554447632,39.4258458,3575.9672757815,105.97167672909269,3994.0635442822286,51.03660953608364,49.995608028627565,0.999229,7.33,23.47,0.173452,3575.9672757815,14994.34441497735,33564.6561057362,-26412.7215541732,-6182.074739539096,-7851.301793505513,1669.2270539664169,548.1414027909589,1.2211382113821139
stellar,xlm,Stellar,0.102948,-1.40016,0.10553142282344605,0.10153053715074499,39.164435399999995,3575.9724222995,70.68210048606181,3613.686344636302,49.949725131183484,48.81384100492044,163.92,0.999229,7.33,1.41,3575.9724222995,14994.343123014509,33564.65866832852,-26412.71382372952,-5803.974728345896,-7441.83638047359,1637.8616521276936,559.6951656192516,-0.8969486394854038
mantle,mnt,Mantle,0.866618,-1.2156,0.9067732331316889,0.8395602425531852,34.643758999999996,216.61575319949998,47.41027299070788,3269.6082754328445,49.526971623865094,49.999953673714344,0.102948,163.92,0.999229,23.47,216.61575319949998,806.6164706720988,1829.8486945436975,-1396.6171881446976,-5441.539444153551,-7041.7769932095825,1600.2375490560316,554.8400795429267,-0.8484933566433567
blockstack,stx,Stacks,1.87,-1.43865,1.9091952611916687,1.7881984915545857,33.55175899999999,216.3982531995,32.23018199380526,2958.3951063440018,50.005702222168736,50.000446635086654,0.866618,0.102948,163.92,7.33,216.3982531995,806.6767729348335,1829.751799069167,-1396.955292670167,-5095.488288525319,-6652.51925227273,1557.030963747411,549.7137607513765,-0.99948368784927
dogwifcoin,wif,dogwifhat,2.72,6.70414,2.794691539259975,2.5949933756332646,33.895913199999995,215.82325319950002,22.393454662536843,2676.9022390731443,49.98034984794841,50.000903282349675,1.87,0.866618,0.102948,0.999229,215.82325319950002,806.8325542443954,1829.4883616882908,-1397.8418552892908,-4766.229539374706,-6275.261309693126,1509.03177031842,549.4328606277832,226854.7130942452
